"id","PlayerName","DraftAge","Country","Height","Weight","Position","DraftYear","Overall","CSS_rank","rs_GP","rs_G","rs_A","rs_P","rs_PIM","rs_PlusMinus","po_GP","po_G","po_A","po_P","po_PIM","po_PlusMinus","sum_7yr_GP","sum_7yr_TOI"
"20,976",Jean-Philippe Morin,18,Canada,73,203,D,"1,998",109,,53,4,15,19,95,-7,,,,,,,,
"30,696",Brent Hobday,19,Canada,72,185,L,"1,998",111,,68,21,22,43,122,-17,4,2,0,2,4,-2,,
273,Viktor Wallin,18,Sweden,75,207,D,"1,998",112,,28,9,15,24,42,0,,,,,,,,
"9,599",Anton But,18,Russia,74,214,L,"1,998",119,23,28,5,3,8,16,1,,,,,,,,
"14,999",Brent Gauvreau,20,Canada,75,198,C,"2,000",186,,61,34,53,87,74,2,5,1,2,3,4,-3,,
"79,353",Curtis Rich,19,Canada,76,201,D,"1,998",121,36,70,3,12,15,204,11,17,0,0,0,36,-9,,
"79,356",Erik Wendell,19,USA,73,196,C,"1,998",125,,17,7,2,9,64,0,,,,,,,,
"60,620",Morgan Warren,18,Canada,74,209,R,"1,998",126,,58,11,10,21,80,0,10,2,2,4,2,0,,
"79,358",Brandon Coalter,20,Canada,74,201,L,"1,998",127,,64,8,13,21,143,-15,7,3,3,6,6,0,,
"60,618",Paul Elliott,18,Canada,73,216,D,"1,998",128,,72,11,27,38,47,-44,,,,,,,,
"79,360",Gavin Mcleod,18,Canada,77,216,D,"1,998",130,,70,3,17,20,98,7,7,0,0,0,14,-3,,
"11,454",Joe Rullier,18,Canada,75,231,D,"1,998",133,,55,1,10,11,176,0,16,1,4,5,34,0,,
151,David Ytfeldt,19,Sweden,72,192,D,"1,998",136,,44,13,10,23,129,-1,,,,,,,,
"79,362",Aaron Goldade,18,Canada,73,203,L,"1,998",137,,66,19,16,35,58,-4,16,0,2,2,22,-2,,
"79,388",Martin Beauchesne,18,Canada,72,201,D,"1,998",138,,37,1,3,4,105,0,,,,,,,,
"15,946",Garrett Prosofsky,18,Canada,71,190,C,"1,998",139,46,71,28,42,70,76,-33,6,6,3,9,4,4,,
"79,390",Rick Bertran,18,Canada,75,181,D,"1,998",140,,56,0,9,9,149,-12,6,0,0,0,11,-4,,
"12,762",K.C. Timmons,18,Canada,75,229,D,"1,998",141,,72,11,7,18,139,-26,,,,,,,,
359,Calle Steen,18,Sweden,72,207,C,"1,998",142,,21,1,3,4,22,0,,,,,,,,
"42,301",Oleg Smirnov,18,Russia,71,196,L,"1,998",144,16,12,2,2,4,4,0,,,,,,,,
"20,500",Sergei Kuznetsov,18,Russia,72,198,L,"1,998",146,11,28,5,3,8,14,0,,,,,,,,
"64,939",Craig Brunel,20,Canada,72,220,R,"1,999",263,,50,10,8,18,173,0,14,4,2,6,48,1,,
"15,598",Chris Ovington,18,Canada,76,205,D,"1,998",148,,68,2,13,15,72,4,5,0,0,0,2,-1,,
"10,423",Paul Cabana,20,Canada,72,203,R,"1,998",149,,52,48,32,80,121,0,,,,,,,,
"79,392",Adam Deleeuw,18,Canada,73,212,L,"1,998",151,,56,10,6,16,224,0,,,,,,,,
"13,790",Kevin Clauson,20,USA,77,218,D,"1,998",155,,36,1,1,2,56,0,,,,,,,,
"13,250",Brad Voth,18,Canada,77,229,W,"1,998",157,,70,5,8,13,244,-26,,,,,,,,
"3,196",Jari Viuhkola,18,Finland,72,196,C,"1,998",158,50,56,13,27,40,101,0,,,,,,,,
"41,694",Trevor Ettinger,18,Canada,77,225,D,"1,998",159,,50,1,2,3,181,-5,3,0,0,0,7,0,,
"79,394",Ryan Milanovic,18,Canada,74,216,L,"1,998",165,,42,1,8,9,72,0,6,1,3,4,19,-1,,
"9,597",Alexander Ryazantsev,18,Russia,72,225,D,"1,998",167,8,59,12,18,30,48,1,,,,,,,,
"24,053",Jan Fadrny,18,Czech Rep.,72,196,C,"1,998",169,30,32,8,6,14,14,0,3,0,0,0,4,-2,,
"31,403",Andrei Troshchinsky,20,Kazakhstan,75,185,C,"1,998",170,,45,18,15,33,54,-8,,,,,,,,
"79,434",Jacques Lariviere,19,Canada,75,218,L,"1,998",172,,68,3,1,4,249,0,9,0,0,0,15,0,,
"79,436",Brett Allan,18,Canada,76,185,L,"1,998",174,37,68,17,9,26,42,6,12,1,2,3,2,-2,,
"79,444",B.J. Ketcheson,18,Canada,75,201,D,"1,998",176,,58,3,4,7,99,-24,4,0,1,1,6,-6,,
"79,449",Vince Malts,20,USA,75,216,R,"1,998",177,,33,11,17,28,124,0,11,6,13,19,20,0,,
"79,453",Nathan Forster,18,Canada,73,194,D,"1,998",179,,68,1,12,13,153,11,5,0,1,1,8,-1,,
466,Stefan Lundqvist,20,Sweden,75,214,R,"1,998",180,,48,25,17,42,2,-3,1,0,0,0,0,0,,
"26,096",Jonathan Gagnon,18,Canada,73,198,L,"1,998",181,,69,15,26,41,79,0,4,2,3,5,12,-1,,
"81,552",Don Smith,19,USA,74,205,C,"1,998",184,,30,4,6,10,8,-4,,,,,,,,
"19,633",Robert Mulick,19,Canada,74,203,D,"1,998",185,,61,0,10,10,109,-16,,,,,,,,
"13,641",Michel Periard,19,Canada,71,185,D,"1,998",188,,68,14,30,44,64,10,5,0,0,0,18,0,,
"18,556",Andrei Kruchinin,20,Russia,73,196,D,"1,998",189,,50,0,6,6,75,6,,,,,,,,
"3,222",Tommi Hannus,18,Finland,72,190,R,"1,998",190,24,52,22,19,41,20,5,7,1,2,3,4,0,,
"8,388",Radek Duda,19,Czech Rep.,73,201,R,"1,998",192,43,46,5,3,8,28,-4,10,0,2,2,6,-3,,
"81,623",Oak Hewer,19,Canada,76,216,R,"1,998",194,,62,8,11,19,68,-30,,,,,,,,
"81,634",Joel Scherban,18,Canada,74,207,C,"1,998",196,,8,2,5,7,2,5,16,2,3,5,4,1,,
"81,635",Brad Twordik,19,Canada,70,201,L,"1,998",197,,69,23,49,72,81,22,18,5,11,16,35,9,,
"43,245",Jeremy Goetzinger,18,Canada,76,231,D,"1,998",198,,69,4,6,10,78,-2,,,,,,,,
"81,636",Erik Jensen,19,USA,73,196,R,"1,998",199,,41,12,14,26,90,0,11,2,5,7,60,0,,
"81,640",Scott Perry,20,USA,72,181,C,"1,998",200,,38,5,12,17,18,0,,,,,,,,
"80,660",Craig Murray,19,Canada,72,174,L,"1,998",201,,57,45,52,97,50,0,,,,,,,,
"10,722",Martin Bartek,18,Slovakia,72,223,R,"1,998",202,,73,24,40,64,76,-7,,,,,,,,
"51,896",Ian Jacobs,18,Canada,76,234,D,"1,998",203,,61,7,8,15,23,5,10,0,0,0,4,-2,,
"81,642",Graig Mischler,20,USA,75,194,C,"1,998",204,,39,7,13,20,22,0,,,,,,,,
"82,978",David Bernier,20,Canada,74,187,R,"1,998",205,,70,35,53,88,88,34,14,7,8,15,1,0,,
"82,977",Sean Griffin,18,Canada,75,216,D,"1,998",210,,63,0,6,6,97,4,12,0,0,0,13,-5,,
"20,971",Mark Kosick,19,Canada,72,187,C,"1,998",211,,45,14,32,46,18,12,,,,,,,,
"82,980",Christian Lefebvre,20,Canada,77,216,D,"1,998",213,,8,0,0,0,18,0,,,,,,,,
"82,981",Justin Hansen,18,Canada,73,194,C,"1,998",214,,67,16,18,34,97,-4,,,,,,,,
"83,452",Dwight Wolfe,18,Canada,78,214,D,"1,998",215,,52,0,2,2,72,-12,5,0,0,0,0,-4,,
"16,662",Jim Henkel,19,USA,74,190,C,"1,998",217,,37,34,37,71,0,0,,,,,,,,
"80,326",Curtis Valentine,19,USA,77,190,L,"1,998",219,,38,7,8,15,34,0,,,,,,,,
"74,668",Dan Hulak,18,Canada,75,190,D,"1,998",221,,70,3,14,17,32,-1,12,0,2,2,2,6,,
"31,480",Lubomir Pistek,18,Slovakia,74,198,L,"1,998",222,49,55,16,35,51,60,0,,,,,,,,
"83,453",Sergei Verenikin,19,Russia,71,187,R,"1,998",223,,22,3,2,5,38,0,,,,,,,,
"66,006",Yevgeni Pastukh,19,Ukraine,71,179,L,"1,998",225,,29,6,6,12,16,0,3,0,0,0,0,0,,
201,David Petrasek,22,Sweden,73,207,D,"1,998",226,,47,6,10,16,90,7,5,2,2,4,14,1,,
"3,231",Marko Ahosilta,18,Finland,69,194,L,"1,998",227,84,55,40,31,71,78,-1,,,,,,,,
"22,669",Michal Travnicek,18,Czech Rep.,73,216,L,"1,998",228,66,49,21,22,43,2,0,,,,,,,,
"12,577",Chris Lyness,18,Canada,74,205,D,"1,998",229,,65,2,15,17,100,9,6,0,1,1,12,2,,
"12,697",Adrian Wichser,18,Switzerlan,71,187,C,"1,998",231,35,48,8,10,18,35,-4,7,0,1,1,6,0,,
"42,142",Jason Metcalfe,20,Canada,73,203,D,"1,998",232,,66,2,21,23,270,28,5,0,1,1,8,-3,,
306,Pelle Prestberg,23,Sweden,70,172,R,"1,998",233,,49,29,15,44,22,19,12,9,2,11,8,10,,
"14,644",Kevin Mitchell,18,USA,73,194,D,"1,998",234,,65,10,46,56,73,11,13,1,9,10,14,3,,
"83,105",Ben Blais,20,USA,75,198,D,"1,998",237,,54,12,39,51,75,0,,,,,,,,
"83,102",Alexandre Couture,18,Canada,75,223,L,"1,998",238,,66,15,19,34,144,-18,,,,,,,,
"6,627",Brent Mcdonald,19,Canada,71,185,R,"1,998",239,,69,18,27,45,93,10,5,0,2,2,4,-3,,
"83,050",Andrei Yershov,22,Russia,72,176,D,"1,998",240,,45,5,8,13,60,0,,,,,,,,
"17,231",Maxim Spiridonov,20,Russia,70,185,R,"1,998",241,,66,54,44,98,52,23,19,3,4,7,4,2,,
"83,049",Jason Doyle,20,Canada,73,205,R,"1,998",242,,46,15,22,37,70,-24,10,7,4,11,11,4,,
137,Rastislav Pavlikovsky,21,Slovakia,71,198,C,"1,998",246,,78,19,30,49,54,15,2,0,0,0,6,-1,,
"83,097",Darcy Harris,20,Canada,73,181,R,"1,998",247,,61,21,19,40,200,1,6,2,4,6,28,-1,,
"17,238",Edo Terglav,18,Slovenia,73,207,R,"1,998",249,49,46,17,27,44,40,-19,,,,,,,,
"22,794",Radek Matejovsky,21,Czech Rep.,73,196,R,"1,998",250,,52,9,4,13,20,0,3,0,0,0,0,-1,,
"15,001",Blake Evans,18,Canada,72,205,C,"1,998",251,,73,19,34,53,131,-29,,,,,,,,
"3,319",Petja Pietilainen,18,Finland,71,203,L,"1,998",256,,72,17,12,29,79,-12,6,2,1,3,4,-2,,
"19,001",Ryan Held,18,Canada,73,194,F,"1,998",257,,59,15,16,31,35,-4,6,1,0,1,7,-6,,
"79,370",Sergei Skrobot,18,Russia,75,190,L,"1,998",258,68,44,2,4,6,10,0,,,,,,,,
"10,410",Scott Kelman,18,Canada,75,216,C,"1,999",15,6,66,19,54,73,95,0,11,4,3,7,37,-4,,
"9,637",Luca Cereda,18,Switzerlan,74,203,C,"1,999",24,14,54,13,21,34,48,0,15,0,6,6,4,0,,
"12,028",Dan Cavanaugh,19,USA,74,196,C,"1,999",38,54,36,6,8,14,60,1,,,,,,,,
"9,601",Alexander Buturlin,18,Russia,72,198,R,"1,999",39,4,24,4,3,7,47,-1,3,1,0,1,2,0,,
"9,553",Andrei Shefer,18,Russia,72,198,D,"1,999",43,16,36,10,7,17,44,-1,,,,,,,,
"19,117",Dmitri Levinsky,18,Russia,73,203,R,"1,999",46,11,11,4,1,5,6,-1,,,,,,,,
"12,763",Brett Clouthier,18,Canada,76,225,L,"1,999",50,59,64,8,14,22,227,-27,5,1,1,2,4,-6,,
"15,978",Matt Zultek,20,Canada,76,231,L,"1,999",56,,56,33,33,66,71,35,9,6,2,8,4,6,,
"15,947",Jeremy Van Hoof,20,Canada,74,185,D,"2,001",222,,65,1,14,15,49,11,20,3,4,7,27,5,,
"42,367",David Inman,19,USA,71,185,C,"1,999",59,19,38,10,10,20,74,0,,,,,,,,
"59,121",Peter Reynolds,20,Canada,74,190,D,"2,001",274,,60,2,27,29,85,-17,5,0,1,1,7,-2,,
"15,116",Ed Hill,19,USA,74,218,D,"1,999",61,30,53,7,17,24,42,24,12,0,2,2,8,3,,
"3,229",Teemu Sainomaa,18,Finland,76,216,C,"1,999",62,24,14,9,8,17,27,0,6,5,2,7,10,0,,
"20,195",Stepan Mokhov,18,Russia,72,220,D,"1,999",63,27,33,3,1,4,40,0,,,,,,,,
"9,636",Rene Vydareny,18,Slovakia,73,214,D,"1,999",69,12,69,5,13,18,73,6,2,0,0,0,2,0,,
"15,248",Brett Angel,18,Canada,77,220,D,"1,999",72,52,55,5,9,14,139,-15,4,0,0,0,0,-4,,
"42,368",Tim Preston,18,Canada,71,192,L,"1,999",73,78,60,12,15,27,98,-1,11,0,1,1,11,0,,
"64,695",Jason Crain,19,USA,75,207,D,"1,999",74,65,41,3,14,17,18,0,,,,,,,,
"59,113",Brett Scheffelmaier,20,Canada,77,227,D,"2,001",190,,62,3,10,13,279,0,,,,,,,,
"64,736",Mark Concannon,19,USA,73,192,F,"1,999",82,151,26,23,38,61,11,0,,,,,,,,
"42,370",Patrick Aufiero,19,USA,72,205,D,"1,999",90,47,22,3,4,7,14,4,,,,,,,,
"12,308",Andre Lakos,20,Austria,79,238,D,"1,999",95,102,68,4,23,27,46,33,12,3,3,6,8,3,,
"12,911",Chris Dyment,20,USA,75,207,D,"1,999",97,49,25,1,5,6,18,0,,,,,,,,
"64,738",David Kaczowka,18,Canada,74,231,L,"1,999",98,175,60,3,2,5,247,0,9,0,0,0,24,-1,,
"3,232",Teemu Kesa,18,Finland,73,209,D,"1,999",100,55,44,4,6,10,174,0,10,0,0,0,12,0,,
118,Johan Halvardsson,20,Sweden,75,205,D,"1,999",102,74,39,1,2,3,73,6,,,,,,,,
"64,739",Morgan Mccormick,18,Canada,76,216,R,"1,999",103,89,34,6,5,11,43,-10,5,0,0,0,13,-4,,
"19,112",Rail Rozakov,18,Russia,73,207,D,"1,999",106,15,37,0,1,1,18,-1,,,,,,,,
"18,471",Mirko Murovic,18,Switzerlan,75,209,L,"1,999",108,67,69,21,33,54,60,-2,4,0,1,1,2,-4,,
"3,575",Rod Sarich,18,U.K.,75,187,D,"1,999",109,132,63,3,15,18,22,15,21,1,2,3,8,-4,,
"8,473",Jonathan Zion,18,Canada,73,205,D,"1,999",110,72,60,8,33,41,10,25,9,2,3,5,8,5,,
"43,141",Willie Levesque,19,USA,72,183,L,"1,999",111,56,34,12,10,22,38,0,,,,,,,,
725,Sanny Lindstrom,20,Sweden,73,192,D,"1,999",112,82,57,4,3,7,95,-1,,,,,,,,
"14,422",Ryan J. Murphy,20,USA,73,205,L,"1,999",113,104,39,11,25,36,40,0,,,,,,,,
"16,859",Chad Starling,19,Canada,78,205,D,"1,999",114,55,65,4,13,17,101,18,14,0,0,0,8,-5,,
"65,188",Ryan Lauzon,19,Canada,70,190,C,"1,999",116,115,57,21,47,68,36,0,23,3,20,23,10,0,,
"78,401",Karel Mosovsky,18,Czech Rep.,74,198,L,"1,999",117,105,68,26,25,51,58,-15,,,,,,,,
"3,241",Jaakko Harikkala,18,Finland,73,220,D,"1,999",118,31,63,6,3,9,58,-7,,,,,,,,
"57,268",Jeff Feniak,18,Canada,76,209,D,"1,999",119,71,39,1,4,5,81,14,17,0,1,1,16,-3,,
308,Jari Tolsa,18,Sweden,73,198,L,"1,999",120,69,44,17,23,40,63,-4,,,,,,,,
"78,402",Yevgeni Pavlov,18,Russia,72,196,L,"1,999",121,45,44,19,10,29,4,0,,,,,,,,
"7,311",Kristian Kovac,18,Slovakia,74,198,R,"1,999",122,30,52,31,22,53,77,0,2,1,0,1,2,0,,
"12,795",Preston Mizzi,19,Canada,71,192,C,"1,999",123,94,67,29,29,58,74,15,5,2,3,5,15,-3,,
"78,405",Alexander Krevsun,19,Kazakhstan,73,216,L,"1,999",124,,37,14,6,20,38,0,2,0,0,0,0,0,,
991,Daniel Johansson,18,Sweden,72,203,D,"1,999",125,61,54,16,24,40,40,0,,,,,,,,
"19,448",Jeff Bateman,18,Canada,73,190,L,"1,999",126,107,68,23,35,58,27,-49,,,,,,,,
"78,414",Ryan Thorpe,18,Canada,76,216,L,"1,999",129,97,41,12,4,16,89,9,,,,,,,,
"15,027",Konstantin Panov,19,Russia,72,243,R,"1,999",131,70,62,33,30,63,62,17,13,5,3,8,10,2,,
"13,435",Michael Jacobsen,18,Canada,73,201,D,"1,999",134,125,68,5,27,32,33,33,21,0,4,4,10,15,,
"78,426",Matt Doman,19,USA,71,205,R,"1,999",135,80,40,6,6,12,58,0,,,,,,,,
"16,858",Dusty Jamieson,18,Canada,74,196,L,"1,999",136,58,66,16,28,44,10,20,6,1,0,1,2,-1,,
"15,320",Garett Bembridge,20,Canada,72,163,R,"2,001",207,,79,39,40,79,40,-35,,,,,,,,
"78,427",Jonathan Fauteux,19,Canada,74,231,D,"1,999",139,50,59,15,33,48,139,-24,6,1,2,3,8,-5,,
"44,341",Adam Johnson,19,USA,79,236,D,"1,999",140,123,0,0,0,0,0,0,,,,,,,,
"18,843",Maxim Rybin,18,Russia,69,201,L,"1,999",141,21,48,14,10,24,58,-1,,,,,,,,
"78,428",Will Magnuson,19,USA,77,234,D,"1,999",142,76,23,0,0,0,28,-15,,,,,,,,
"11,757",Trevor Byrne,19,USA,75,201,D,"1,999",143,63,25,9,19,28,22,0,,,,,,,,
"27,219",Tomas Skvaridlo,18,Slovakia,74,209,R,"1,999",144,22,52,22,13,35,46,11,,,,,,,,
"11,048",Marc-Andre Thinel,18,Canada,72,187,R,"1,999",145,32,67,45,58,103,16,-1,6,5,3,8,4,4,,
"12,636",Matt Kinch,19,Canada,71,187,D,"1,999",146,,68,14,69,83,16,50,21,7,23,30,8,14,,
"78,429",Andrei Maximenko,18,Russia,72,181,L,"1,999",149,,35,1,3,4,45,0,,,,,,,,
"14,724",Matt Shasby,19,USA,74,201,D,"1,999",150,77,49,4,22,26,34,0,11,0,1,1,12,0,,
"30,842",Vaclav Zavoral,18,Czech Rep.,75,214,D,"1,999",151,10,51,3,10,13,4,1,,,,,,,,
"78,432",Jesse Cook,20,USA,77,220,D,"1,999",153,79,33,0,10,10,22,0,,,,,,,,
"15,887",Andrew Ianiero,18,Canada,72,201,L,"1,999",154,73,68,21,26,47,81,-20,5,5,3,8,8,3,,
"15,576",Gregor Baumgartner,20,Austria,73,198,R,"1,999",156,,68,33,58,91,14,4,23,8,8,16,8,-3,,
"19,126",Vladimir Malenkikh,19,Russia,74,205,D,"1,999",157,,47,6,3,9,70,0,,,,,,,,
950,Anders Lovdahl,18,Sweden,75,203,C,"1,999",158,66,4,1,1,2,0,-2,,,,,,,,
"18,506",Yuri Dobryshkin,20,Russia,72,187,L,"1,999",159,18,57,16,7,23,86,4,,,,,,,,
"21,045",Konstantin Rudenko,18,Kazakhstan,69,176,L,"1,999",160,,28,15,9,24,67,0,,,,,,,,
"17,165",Jan Sochor,19,Czech Rep.,72,205,F,"1,999",161,78,47,10,11,21,14,7,,,,,,,,
"10,422",Cory Pecker,18,Canada,72,198,R,"1,999",166,69,68,25,34,59,24,20,5,1,2,3,2,-1,,
"78,435",Sean Dixon,18,Canada,74,185,D,"1,999",167,37,55,2,12,14,57,-6,,,,,,,,
99,Erik Leverstrom,19,Sweden,74,209,D,"1,999",168,75,32,3,10,13,46,0,,,,,,,,
"12,916",Brad Woods,18,Canada,76,201,D,"1,999",169,,58,1,5,6,42,-43,,,,,,,,
"78,449",Chris Legg,19,Canada,73,190,C,"1,999",171,182,52,38,40,78,6,0,,,,,,,,
"78,905",Josh Reed,20,Canada,74,205,D,"1,999",172,,54,16,38,54,110,0,,,,,,,,
175,Jan Sandstrom,21,Sweden,72,196,D,"1,999",173,,47,2,7,9,18,7,,,,,,,,
"78,908",Kyle Clark,19,USA,78,209,R,"1,999",175,100,20,0,2,2,30,0,,,,,,,,
"78,934",Doug Meyer,19,USA,74,196,L,"1,999",176,103,36,4,4,8,18,0,,,,,,,,
"78,935",Jay Dardis,19,USA,75,190,C,"1,999",177,118,26,23,36,59,32,0,,,,,,,,
"26,094",Seneque Hyacinthe,18,Canada,72,207,R,"1,999",178,147,63,24,33,57,106,-7,4,0,2,2,2,-1,,
"1,662",Tore Vikingstad,24,Norway,75,207,C,"1,999",180,,55,10,13,23,20,-5,4,2,3,5,0,3,,
"12,834",Justin Cox,18,Canada,72,185,C,"1,999",184,,72,9,13,22,51,-10,7,1,0,1,13,-4,,
"12,753",Scott Cameron,18,Canada,72,187,F,"1,999",185,42,66,10,32,42,14,23,12,2,2,4,2,4,,
"78,936",Brett Draney,18,Canada,72,179,L,"1,999",186,,58,7,10,17,48,10,15,1,1,2,8,0,,
"9,605",Ivan Rachunek,18,Czech Rep.,69,176,W,"1,999",187,87,51,39,25,64,12,-1,,,,,,,,
"12,030",Stephen Baby,19,USA,77,229,R,"1,999",188,,55,23,24,47,83,0,6,1,1,2,4,0,,
"17,859",Blair Stayzer,19,Canada,75,225,D,"1,999",190,137,62,12,19,31,140,-18,5,2,0,2,14,-9,,
9,David Bornhammar,18,Sweden,73,198,D,"1,999",192,,55,9,6,15,44,0,,,,,,,,
"11,822",Kevin Baker,20,Canada,72,192,R,"1,999",193,,68,44,37,81,66,32,12,12,5,17,12,14,,
521,Mattias Wennerberg,18,Sweden,72,192,L,"1,999",194,32,58,22,17,39,84,0,,,,,,,,
"10,840",Yorick Treille,19,France,75,196,R,"1,999",195,93,37,10,12,22,34,0,,,,,,,,
"3,248",Arto Laatikainen,19,Finland,71,183,D,"1,999",197,34,73,1,16,17,48,3,5,1,3,4,2,1,,
"78,938",Travis Eagles,18,Canada,76,194,R,"1,999",198,,48,1,9,10,66,-2,5,0,0,0,8,-3,,
"12,802",Christian Chartier,19,Canada,71,205,D,"1,999",199,84,62,2,14,16,71,-22,,,,,,,,
"22,656",Pavel Kasparik,20,Czech Rep.,74,214,C,"1,999",200,25,51,20,23,43,0,0,,,,,,,,
"3,228",Mikko Ruutu,21,Finland,76,183,R,"1,999",201,,49,13,8,21,38,6,4,0,0,0,2,-2,,
"70,121",Jim Baxter,20,Canada,75,236,D,"1,999",202,,66,22,52,74,20,8,14,4,8,12,4,-2,,
"79,014",Bret Dececco,19,Canada,71,190,R,"1,999",206,,72,57,43,100,81,26,11,1,4,5,21,-3,,
"12,766",Greg Barber,19,Canada,72,192,R,"1,999",207,,0,0,0,0,0,0,,,,,,,,
"60,236",Chris Hartsburg,19,USA,72,201,C,"1,999",214,109,34,6,4,10,60,0,,,,,,,,
"3,239",Erkki Rajamaki,21,Finland,74,212,L,"1,999",216,,28,2,2,4,10,1,,,,,,,,
"3,250",Markus Kankaanpera,19,Finland,72,218,D,"1,999",218,71,74,1,2,3,105,-3,3,0,0,0,0,0,,
"9,552",Maxim Orlov,18,Russia,72,209,C,"1,999",219,54,9,3,2,5,6,1,1,0,0,0,0,0,,
"13,661",Miroslav Durak,18,Slovakia,77,220,D,"1,999",220,,56,1,9,10,66,0,,,,,,,,
"65,187",Andrew Carver,18,Canada,74,209,D,"1,999",223,44,65,2,15,17,104,0,23,0,1,1,22,0,,
360,David Nystrom,19,Sweden,72,187,R,"1,999",224,91,49,19,16,35,22,0,2,0,0,0,0,0,,
"3,303",Mikko Hyytia,18,Finland,72,194,C,"1,999",225,51,26,10,13,23,12,0,,,,,,,,
"65,186",Yevgeni Gusakov,18,Russia,78,209,L,"1,999",226,73,42,12,3,15,28,0,,,,,,,,
"65,116",Eric Betournay,18,Canada,73,198,C,"1,999",229,46,70,16,29,45,57,3,23,2,6,8,18,1,,
"65,114",David Evans,19,USA,74,201,L,"1,999",231,91,33,6,10,16,6,2,,,,,,,,
"12,847",Darcy Robinson,18,Canada,76,238,D,"1,999",233,74,48,3,6,9,86,-9,,,,,,,,
"16,060",Brad Self,18,Canada,71,194,C,"1,999",235,,48,17,12,29,8,14,5,1,0,1,4,-2,,
"64,943",Anton Borodkin,18,Russia,71,194,L,"1,999",238,131,71,8,29,37,98,2,12,0,1,1,8,-2,,
"64,942",Justin Dziama,19,USA,75,220,R,"1,999",242,169,27,20,17,37,20,0,,,,,,,,
"2,617",Mikko Kuparinen,22,Finland,75,220,D,"1,999",244,,55,0,5,5,89,-1,,,,,,,,
"12,831",Ray Dilauro,20,USA,74,225,D,"1,999",246,,35,4,8,12,12,0,,,,,,,,
"18,444",Igor Shadilov,19,Russia,75,207,D,"1,999",249,,39,2,9,11,15,0,,,,,,,,
926,Petter Henning,19,Sweden,72,198,L,"1,999",251,,34,13,14,27,38,0,,,,,,,,
"9,594",Dmitri Kirilenko,20,Russia,71,196,R,"1,999",252,58,44,7,9,16,28,5,,,,,,,,
"27,901",Jerome Marois,18,Canada,73,194,L,"1,999",253,95,52,8,15,23,48,12,12,0,4,4,13,0,,
"18,539",Alexei Bulatov,21,Russia,74,203,F,"1,999",254,,48,21,16,37,24,0,,,,,,,,
"43,140",Brett Henning,19,USA,73,203,C,"1,999",255,158,38,4,6,10,30,-4,,,,,,,,
"3,456",Tamas Groschl,19,Hungary,75,209,L,"1,999",256,,34,11,10,21,39,-3,,,,,,,,
